id,steps,type_x,average heartrate,average stress,type_y
201,13534.43,Night-type,70.48,26.87,Night-type
202,3729.46,Night-type,74.72,22.74,Night-type
203,6301.78,Night-type,87.19,33.29,Night-type
204,5165.72,Night-type,73.14,33.28,Night-type
205,6666.07,Night-type,79.40,29.70,Night-type
206,9820.05,Night-type,83.50,29.84,Night-type
207,8199.72,Night-type,80.97,25.19,Night-type
208,4490.87,Night-type,86.59,30.07,Night-type
209,6957.38,Night-type,81.12,32.80,Night-type
210,5139.11,Night-type,77.49,24.70,Night-type
211,7537.78,Night-type,84.99,25.51,Night-type
213,6074.75,Night-type,83.46,28.41,Night-type
214,3521.29,Night-type,88.53,32.60,Night-type
215,4131.37,Night-type,88.31,39.95,Night-type
216,8162.60,Night-type,83.45,41.04,Night-type
217,10335.34,Night-type,79.56,31.15,Night-type
218,6119.36,Night-type,62.50,23.38,Night-type
219,7416.02,Night-type,79.28,27.77,Night-type
220,6022.55,Night-type,86.34,30.15,Night-type
221,3990.54,Night-type,75.08,32.00,Night-type
222,8050.78,Night-type,79.69,27.20,Night-type
223,2818.89,Night-type,90.67,50.49,Night-type
224,7913.30,Night-type,83.21,29.65,Night-type
225,12737.51,Night-type,80.46,22.64,Night-type
227,5504.84,Night-type,71.09,29.92,Night-type
228,11156.28,Night-type,78.30,27.20,Night-type
229,5658.70,Night-type,81.94,33.77,Night-type
