id,average midsleep
101,03:11
102,
105,05:04
107,05:17
108,04:20
109,04:00
110,07:31
111,04:26
112,05:00
113,04:58
115,04:27
116,05:05
117,04:11
118,03:59
119,04:59
121,04:33
122,03:36
123,05:02
124,05:36
125,04:09
126,04:53
127,04:11
129,05:11
130,03:36
131,06:43
201,03:08
202,03:00
203,01:59
204,03:36
205,03:10
206,03:22
207,03:20
208,03:49
209,03:06
210,03:19
211,02:57
213,03:22
214,03:07
215,03:02
216,04:00
217,03:07
218,02:55
219,02:45
220,02:15
221,03:05
222,02:40
223,01:06
224,02:52
225,02:57
227,03:58
228,03:36
229,02:53
