,id,weekend sleep duration,midweek sleep duration,exams sleep duration,non-exams sleep duration,midweek - weekend,non exams - exams
0,101,174.97,386.64,209.56,352.05,211.67,142.49
1,102,13.03,0.0,13.03,0.0,-13.03,-13.03
2,105,161.31,380.46,198.99,342.78000000000003,219.14999999999998,143.79000000000002
3,107,151.04,468.76,135.63,484.17,317.72,348.54
4,108,42.35,210.18,99.25999999999999,153.27,167.83,54.01000000000002
5,109,58.39,173.93,100.83,131.49,115.54,30.66000000000001
6,110,59.67,125.6,48.56,136.71,65.92999999999999,88.15
7,111,149.02,420.86,210.22,359.66,271.84000000000003,149.44000000000003
8,112,72.04,110.76,86.63,96.17,38.72,9.540000000000006
9,113,143.64,303.81,120.88,326.57,160.17000000000002,205.69
10,115,118.33,345.96,172.01,292.28,227.63,120.26999999999998
11,116,163.34,409.32,198.72,373.94,245.98,175.22
12,117,90.26,270.67,144.98,215.95,180.41000000000003,70.97
13,118,129.21,346.55,162.92000000000002,312.84,217.34,149.91999999999996
14,119,134.2,314.08,165.35,282.93,179.88,117.58000000000001
15,121,126.75999999999999,386.13,180.05,332.84,259.37,152.78999999999996
16,122,113.22,239.61,131.49,221.34,126.39000000000001,89.85
17,123,140.42,387.15999999999997,194.43,333.15,246.73999999999998,138.71999999999997
18,124,138.09,312.69,177.4,273.38,174.6,95.97999999999999
19,125,132.28,353.8,177.27,308.81,221.52,131.54
20,126,108.14,316.05,197.81,226.38,207.91000000000003,28.569999999999993
21,127,81.16,220.08,137.03,164.21,138.92000000000002,27.180000000000007
22,129,110.46000000000001,221.79,121.97,210.28,111.32999999999998,88.31
23,130,118.66,235.92,118.88,235.7,117.25999999999999,116.82
24,131,94.84,151.64000000000001,82.82,163.66,56.80000000000001,80.84
25,201,141.98,370.09,149.87,362.2,228.10999999999999,212.32999999999998
26,202,149.26,359.81,177.11,331.96,210.55,154.84999999999997
27,203,104.3,226.17000000000002,87.69,242.78,121.87000000000002,155.09
28,204,18.29,42.32,60.61,0.0,24.03,-60.61
29,205,122.09,286.65,131.19,277.55,164.55999999999997,146.36
30,206,104.57000000000001,300.9,157.16,248.31,196.32999999999998,91.15
31,207,78.82,257.22,118.95,217.09,178.40000000000003,98.14
32,208,119.14,285.89,148.04,256.99,166.75,108.95000000000002
33,209,127.41,263.16,128.21,262.36,135.75000000000003,134.15
34,210,96.89,275.29,119.73,252.45,178.40000000000003,132.71999999999997
35,211,56.65,142.8,94.18,105.27,86.15,11.08999999999999
36,213,153.92,360.19,203.70000000000002,310.41,206.27,106.71000000000001
37,214,143.7,293.06,164.23,272.53000000000003,149.36,108.30000000000004
38,215,129.64,271.4,141.32,259.72,141.76,118.40000000000003
39,216,98.25,216.78,93.05,221.98,118.53,128.93
40,217,101.95,237.75,123.79,215.91,135.8,92.11999999999999
41,218,54.45,119.85,33.9,140.4,65.39999999999999,106.5
42,219,115.54,335.07,133.58,317.03,219.52999999999997,183.44999999999996
43,220,34.61,208.56,119.11,124.06,173.95,4.950000000000003
44,221,145.97,336.18,171.64000000000001,310.51,190.21,138.86999999999998
45,222,56.17,238.37,95.08,199.46,182.2,104.38000000000001
46,223,165.18,386.36,203.07,348.47,221.18,145.40000000000003
47,224,57.459999999999994,197.1,126.24,128.32,139.64,2.0799999999999983
48,225,99.21,264.76,164.55,199.42,165.55,34.869999999999976
49,227,144.14,360.19,168.99,335.34,216.05,166.34999999999997
50,228,103.49000000000001,252.87,125.34,231.02,149.38,105.68
51,229,90.28999999999999,195.07999999999998,139.49,145.88,104.78999999999999,6.389999999999986
