,id,steps,average heartrate,average stress,average sleep start,duration,average midsleep,average awake time,type,exams period,weekend
0,101,4958.875,72.3125,29.0,22:37,8.977500000000001,03:03,07:29,Night,Yes,No
1,101,6443.0,74.75,28.65,23:05,8.379310344827585,03:16,07:29,Night,No,No
2,101,3860.235294117647,74.4375,22.066666666666666,23:02,9.0875,03:41,07:55,Night,No,Yes
3,101,3392.3333333333335,66.33333333333333,18.5,21:12,10.986666666666666,02:32,08:00,Night,Yes,Yes
4,102,11666.9,95.0,36.666666666666664,,,,,Night,No,Yes
5,102,4499.133333333333,92.06666666666666,42.06666666666667,,,,,Night,Yes,No
6,102,7405.0,96.29629629629629,44.22222222222222,,,,,Night,No,No
7,102,8260.8,91.4,34.8,22:00,13.03,05:00,11:00,Night,Yes,Yes
8,105,8467.724137931034,78.20689655172414,41.37931034482759,00:36,8.841481481481482,05:05,09:27,Night,No,No
9,105,6978.8125,77.0,37.3125,00:33,8.85875,05:03,09:29,Night,Yes,No
10,105,9896.916666666666,77.75,40.583333333333336,00:19,8.671666666666667,04:50,09:00,Night,No,Yes
11,105,5422.166666666667,76.66666666666667,34.833333333333336,00:28,9.541666666666666,05:10,09:50,Night,Yes,Yes
12,107,5808.8125,80.875,37.4375,23:33,9.9,04:39,09:41,Night,Yes,No
13,107,6754.1875,82.0625,34.625,00:28,11.184166666666668,06:03,11:40,Night,No,Yes
14,107,5502.5,78.0,31.75,02:00,8.415,06:30,10:30,Night,Yes,Yes
15,107,6273.810810810811,79.02702702702703,33.62162162162162,00:29,10.292941176470588,05:31,10:35,Night,No,No
16,108,8821.888888888889,85.55555555555556,27.444444444444443,01:30,8.487499999999999,05:45,09:30,Night,No,Yes
17,108,4184.0,82.0,24.0,02:00,8.4,06:00,11:00,Night,Yes,Yes
18,108,5286.428571428572,81.5,25.5,00:56,8.26,05:01,09:16,Night,Yes,No
19,108,5817.285714285715,81.5,24.65,23:49,7.954666666666667,03:51,07:43,Night,No,No
20,109,5852.0,89.4,39.6,00:27,6.8875,04:14,07:14,Night,Yes,Yes
21,109,4258.133333333333,87.13333333333334,40.06666666666667,00:01,6.661818181818182,03:16,06:39,Night,Yes,No
22,109,6485.277777777777,86.375,36.0625,00:34,7.742307692307692,04:40,08:35,Night,No,No
23,109,11430.666666666666,89.5,36.0,01:30,7.71,05:00,09:00,Night,No,Yes
24,110,5292.0,86.75,44.5,02:00,10.61,07:30,13:00,Night,Yes,Yes
25,110,3345.0,80.5,30.5,02:00,6.835,05:30,08:28,Night,Yes,No
26,110,3491.125,77.93333333333334,28.2,03:24,9.825999999999999,08:17,13:21,Night,No,No
27,110,8401.57142857143,86.0,40.714285714285715,01:37,7.69,05:12,08:57,Night,No,Yes
28,111,6582.125,70.9375,32.1875,23:42,9.611875,04:29,09:04,Night,Yes,No
29,111,11871.727272727272,75.18181818181819,36.72727272727273,00:16,8.417272727272728,04:22,08:32,Night,No,Yes
30,111,8595.833333333334,72.16666666666667,32.166666666666664,00:20,9.405,05:10,09:31,Night,Yes,Yes
