id,average midsleep
101,03:20
102,05:00
105,04:56
107,06:07
108,05:48
109,04:37
110,05:51
111,04:39
112,06:47
113,05:58
115,05:51
116,06:29
117,06:02
118,04:35
119,06:10
121,04:25
122,04:23
123,05:23
124,05:20
125,04:35
126,05:45
127,04:23
129,06:48
130,03:38
131,08:34
201,04:18
202,03:59
203,02:09
204,03:29
205,03:30
206,04:09
207,04:42
208,04:18
209,03:23
210,03:47
211,03:08
213,03:59
214,04:10
215,04:03
216,04:41
217,03:28
218,02:59
219,03:21
220,02:53
221,03:10
222,02:59
223,01:39
224,02:51
225,04:51
227,05:00
228,04:32
229,03:35
